H|FIRST YEARS OF PERFORMANCES AT WISNER BUILDING, MASON &amp; WATKINS HIGH SCHOOL
1990|Evening With Gershwin &amp; Porter|Stevie Bateman|Scotty Sumrall
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1990|South Pacific|Peter Infanger|Lisa Thames|30th Season
1990|Driving Miss Daisy|Brenda Carey|Lisa Thames
1991|The Heiress|Betty Whitt / Liz Chesser|Lisa Thames
1991|Girls Of The Garden Club|Linda Walton|Lisa Thames
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1991|Annie|Wess Hughes|Stan Riles
1991|Ordinary People|Kelly Sanner|Stan Riles
1992|You Can't Take It With You|Shana Riles|Stan Riles
1992|Barefoot In The Park|John Parker|Stan Riles
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1992|Big River|Wess Hughes|Edward Schneider
1992|Steel Magnolias|Katie Samora|Edward Schneider
1993|Mister Roberts|Larry Johnson|Edward Schneider
1993|Rumors|Michael Garner|Edward Schneider
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1993|West Side Story|Richard Green|Linda Walton
1993|I Hate Hamlet|Kelly Sanner|Linda Walton
1994|*The Boys Next Door|Michael Garner|Linda Walton
1994|Chapter Two|John Sumrall|Linda Walton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1994|My Fair Lady|Greg Smith|Linda Walton
1994|Romeo &amp; Juliet|Jack Hampton|Linda Walton
1995|Noises Off|Michael Garner|Linda Walton
1995|Love Letters|Linda Walton|Linda Walton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1995|Joseph &amp; Technicolor Dreamcoat|Wess Hughes|Shana Riles
I|-TV ACTRESS / LAUREL NATIVE MARY ELIZABETH ELLIS ('ALWAYS SUNNY IN PHILADELPHIA') IN CAST
1995|Twelve Angry Men|Lisa Thames|Shana Riles
1996|The Odd Couple-Female|Michael Garner|Shana Riles
1996|Wess &amp; Friends|Wess Hughes|Shana Riles
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1996|Class Of '70 Something|Wess Hughes|Missy McCraw
1996|A Christmas Carol|April Lightsey / Chan Geddie|Missy McCraw
1997|Cactus Flower|David Godbold|Missy McCraw
1997|Broadway-The Last 30 Years|Cherie Boone|Missy McCraw
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1997|Pageant The Musical|Wess Hughes|Kelle Burgess
1997|Best Christmas Pageant Ever|April Lightsey / Chan Geddie|Kelle Burgess
1998|Bedside Manners|Michael Garner|Kelle Burgess
1998|The Rainmaker|Lisa Thames|Kelle Burgess
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1998|Little Shop of Horrors|Wess Hughes|George Jackson
1998|Times Square Angel|Richard Hodges|George Jackson
1999|Miss Firecracker Contest|Michael Garner|George Jackson
1999|Cotton Patch Gospel|David Godbold|George Jackson
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1999|SideShow|Wess Hughes|Suzanne Heflin
1999|Nutcracker &amp; The Mouse King|April Lightsey / Chan Geddie|Suzanne Heflin|150th Production
2000|Dearly Departed|Michael Garner|Suzanne Heflin
2000|Effect Of Gamma Rays On Man-In-The-Moon Marigolds|Catherine / Steven Nowicki|Suzanne Heflin
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2000|Dreamgirls|Wess Hughes|Dave Martindale|40th Season Begins
2000|Little Women|April Lightsey / Chan Geddie|Dave Martindale
2001|The Second Time Around|Michael Garner|Dave Martindale
2001|Murder In Green Meadows|Linda Walton|Dave Martindale
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2001|Always...Patsy Cline|Wess Hughes|Dave Martindale
2001|Das Barbecu|Greg Smith|Dave Martindale
2002|Nunsense|Michael Garner|Dave Martindale
2002|Musical Comedy Murders Of 1940|Jennifer Coghlan|Dave Martindale
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2002|Gypsy|Wess Hughes|Edith Parker
2002|Always...Patsy Cline|Wess Hughes|Edith Parker
2002|Arabian Nights|April Lightsey/Chan Geddie|Edith Parker
2003|Lost In Yonkers|Michael Garner|Edith Parker
2003|Red, White &amp; Blue Revue|Catherine Nowicki|Edith Parker
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2003|Chicago|Wess Hughes|Sara Bartran
2003|Five Women Wearing Same Dress|Michael Garner|Sara Bartran
2004|You're A Good Man, Charlie Brown|Jeanenne Pacific|Sara Bartran
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2004|A Chorus Line|Wess Hughes|Gerald Wansley
2004|Nutcracker The Musical|Jeanenne Pacific|Gerald Wansley
2005|Steel Magnolias|Michael Garner|Gerald Wansley
2005|Our Town|Cynthia Welborn|Gerald Wansley
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2005|Annie|Juna Broome|Gerald Wansley
2005|Wess &amp; Friends-Show Must Go On|Wess Hughes|Gerald Wansley
2006|Best Little Whorehouse In Texas|Michael Garner|Gerald Wansley|175th Production
2006|Biloxi Blues|Cynthia Welborn|Gerald Wansley
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2006|42nd Street|Wess Hughes|Juna Broome
2006|The Trip To Bountiful|Michael Garner|Juna Broome
2006|Honk!|Juna Broome|Juna Broome
2007|Sweet Charity|Ricardo Robinson|Juna Broome
2007|The Secret Garden|Amanda Robertson|Juna Broome
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2007|Peter Pan|Juna Broome|Lacy Hinton
2007|Harvey|Cynthia Welborn|Lacy Hinton
2008|Cat On A Hot Tin Roof|Amanda Robertson|Lacy Hinton
2008|Always...Patsy Cline|Wess Hughes|Lacy Hinton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2009|Joseph & Technicolor Dreamcoat|Wess Hughes|Amanda Robertson
2009|The Women|Cynthia Welborn|Amanda Robertson
2009|High School Musical|Juna Broome|Amanda Robertson
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2009|The Music Man|Juna Broome|Becky Thomas
2010|Crimes of the Heart|Michael Garner|Becky Thomas
2010|You Can't Take it With You|Cynthia Welborn|Becky Thomas
2010|Smokey Joe's Cafe|Mike Weber / Jennifer Coghlan|Becky Thomas
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2010|Beehive!-The 60's Musical!|Wess Hughes|Susan Mangum|50th Season
2011|To Kill A Mockingbird|Jennifer Coghlan / Adam Trest|Susan Mangum
2011|Daddy's Dyin'|Frankie Bennett|Susan Mangum
2011|Hairspray|Lacy Cockrell|Susan Mangum
2011|Seussical the Musical!|Wess Hughes|Susan Mangum
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
2011|The Wizard of Oz|Lacy Cockrell|Missy Sanderson
2011|A Tuna Christmas|Catherine Nowicki|Missy Sanderson
